Date,Files,Inserts,Deletes
2011-06-04,9,143,10
2011-06-06,1,3,1
2011-06-11,10,133,27
2011-06-21,1,6,5
2011-06-23,1,27,18
2011-06-26,1,36,0
2011-07-08,2,11,1
2011-07-11,1,1,1
2011-07-12,1,6,2
2011-07-15,27,240,104
2011-07-19,9,20,75
2011-07-21,18,81,180
2011-07-22,3,113,1
2011-07-26,5,25,11
2011-07-29,2,5,2
2011-08-02,7,34,11
2011-08-03,4,13,13
2011-08-07,2,25,6
2011-08-09,2,281,0
2011-08-10,4,121,2
2011-08-11,1,1,1
2011-08-25,1,1,1
2011-08-31,2,5,9
2011-09-01,1,8,4
2011-10-05,1,11,3
2011-10-13,1,18,27
2011-10-27,1,49,0
2011-11-01,1,2,4
2011-11-21,9,180,22
2011-12-02,1,22,2
2011-12-05,1,1,5
2011-12-06,1,2,2
2011-12-07,6,23,11
2011-12-08,5,9,7
2011-12-14,4,80,7
2011-12-19,4,38,2
2011-12-28,10,10,514
2011-12-29,31,15,1666
2012-01-02,2,18,0
2012-01-05,1,10,0
2012-01-06,2,62,11
2012-01-08,1,7,7
2012-01-13,1,2,0
2012-01-18,4,5,6
2012-01-19,1,2,0
2012-01-20,5,19,45
2012-01-21,13,59,26
2012-01-25,6,87,18
2012-01-26,1,1,1
2012-01-27,6,58,23
2012-01-29,3,1033,971
2012-01-30,1,4,4
2012-01-31,6,39,81
2012-02-01,5,13,5
2012-02-02,41,479,391
2012-02-03,2,24,10
2012-02-06,54,144,188
2012-02-07,1,14,1
2012-02-08,1,3,3
2012-02-09,4,46,10
2012-02-13,3,3,3
2012-02-16,1,6,1
2012-02-17,2,3,3
2012-02-20,3,22,3
2012-02-21,1,28,18
2012-02-27,15,178,275
2012-02-28,1,28,0
2012-02-29,5,8,12
2012-03-08,5,50,25
2012-03-09,1,7,0
2012-03-12,1,0,7
2012-03-14,8,898,37
2012-03-20,64,1849,878
2012-03-21,2,727,705
2012-03-22,47,1292,3016
2012-03-26,2,1080,992
2012-03-27,21,649,489
2012-03-28,2,0,736
2012-03-30,49,425,342
2012-04-03,4,40,13
2012-04-05,2,11,7
2012-04-06,10,52,71
2012-04-08,2,76,19
2012-04-10,21,1658,0
2012-04-11,5,7,7
2012-04-12,2,15,0
2012-04-16,32,238,259
2012-04-17,28,357,204
2012-04-18,16,118,122
2012-04-19,10,28,19
2012-04-20,4,35,89
2012-04-23,26,133,131
2012-04-24,13,243,29
2012-04-25,6,115,26
2012-04-26,40,359,167
2012-04-28,4,18,9
2012-04-30,7,28,16
2012-05-01,2,31,4
2012-05-03,4,0,4
2012-05-04,10,62,70
2012-05-07,1,1,1
2012-05-08,1,2,1
2012-05-09,1,1,1
2012-05-11,70,2041,2036
2012-05-14,16,45,196
2012-05-15,8,61,16
2012-05-16,1,0,21
2012-05-18,4,152,0
2012-05-22,1,15,1
2012-05-23,1,1,0
2012-05-29,1,6,6
2012-06-05,1,4,3
2012-06-06,7,12,4
2012-06-07,1,10,2
2012-06-09,2,2,3
2012-06-10,10,273,252
2012-06-11,7,33,37
2012-06-12,2,4,4
2012-06-13,1,1,1
2012-06-14,7,44,5
2012-06-23,6,118,158
2012-06-24,1,21,2
2012-06-25,1,1,1
2012-06-26,2,54,31
2012-06-27,7,107,19
2012-06-28,1,1,1
2012-06-29,2,60,9
2012-07-02,13,78,67
2012-07-03,1,1,1
2012-07-05,8,86,118
2012-07-06,1,49,26
2012-07-07,1,1,1
2012-07-10,5,99,11
2012-07-12,1,2,2
2012-07-13,29,105,106
2012-07-14,4,70,64
2012-07-15,53,291,448
2012-07-16,9,95,71
2012-07-17,31,176,139
2012-07-18,11,146,43
2012-07-19,9,45,23
2012-07-20,1,18,0
2012-07-23,2,4,4
2012-07-24,1,18,18
2012-07-25,8,10,24
2012-07-26,2,87,39
2012-07-27,16,21,21
2012-07-31,21,309,523
2012-08-01,2,3,3
2012-08-02,1,8,0
2012-08-05,3,70,27
2012-08-06,9,95,14
2012-08-07,1,7,0
2012-08-08,2,2,6
2012-08-09,21,708,398
2012-08-10,8,156,100
2012-08-13,1,2,0
2012-08-14,5,31,20
2012-08-16,24,592,898
2012-08-17,8,230,139
2012-08-20,4,41,40
2012-08-21,4,32,5
2012-08-22,11,110,42
2012-08-23,2,51,26
2012-08-24,4,2,36
2012-08-27,2,3,2
2012-08-28,6,53,58
2012-08-29,26,350,334
2012-08-30,1,2,1
2012-08-31,2,3,2
2012-09-04,9,28,202
2012-09-05,6,14,17
2012-09-06,32,332,131
2012-09-10,3,21,5
2012-09-11,3,5,2
2012-09-13,8,42,6
2012-09-14,17,106,154
2012-09-17,1,5,2
2012-09-18,9,43,81
2012-09-19,1,8,0
2012-09-20,1,3,4
2012-09-21,10,82,54
2012-09-24,14,327,122
2012-09-25,10,58,266
2012-09-28,1,1,1
2012-09-30,2,24,18
2012-10-02,2,2,1
2012-10-03,4,5,19
2012-10-08,9,21,112
2012-10-11,4,6,4
2012-10-18,2,2,2
2012-10-31,1,4,4
2012-11-05,1,10,5
2012-11-07,5,14,11
2012-11-08,1,0,12
2012-11-12,2,617,65
2012-11-14,1,7,5
2012-11-15,18,53,43
2012-11-16,1,0,2
2012-11-19,3,21,5
2012-11-26,3,7,3
2012-11-27,3,17,16
2012-11-30,1,1,1
2012-12-04,9,242,160
2012-12-05,1,6,0
2012-12-07,1,2,6
2012-12-11,1,1,1
2012-12-14,3,3,3
2012-12-26,1,1,1
